id,title,price,city,zone,property_type,transaction_type,surface_m2,rooms,bathrooms,description,listing_url
698b9e5eb1afddc99cbe6cda,A Vendre Terrain à Chotrana II La Soukra Ariana,1250.0,Tunis,Tunis,appartement,vente,3697.0,1,1,,https://www.darcomtunisia.com/bien/details/66895-a-vendre-terrain-a-chotrana-ii-la-soukra
698b9e5fb1afddc99cbe6cdb,A vendre S+2 à Chotrana I Ariana,310000.0,Tunis,Tunis,appartement,vente,112.0,1,1,,https://www.darcomtunisia.com/bien/details/93404-a-vendre-s2-a-chotrana-i
698b9e61b1afddc99cbe6cdc,A vendre Un Spacieux Appartement S+3 à Chotrana La Soukra Ariana,850000.0,Tunis,Tunis,appartement,vente,231.0,1,1,,https://www.darcomtunisia.com/bien/details/116584-a-vendre-un-spacieux-appartement-s3-a-chotrana-la-soukra
698b9e62b1afddc99cbe6cdd,Liste des villas indépendant à vendre,2500000.0,Tunis,Tunis,appartement,vente,2048.0,1,1,,https://www.darcomtunisia.com/vente/villa/independante
698b9e64b1afddc99cbe6cde,Liste des triplex à vendre,1800000.0,Tunis,Tunis,appartement,vente,223.0,1,1,,https://www.darcomtunisia.com/vente/triplex
698b9e65b1afddc99cbe6cdf,Liste des villas à vendre en Tunisie,2500000.0,Tunis,Tunis,appartement,vente,2048.0,1,1,,https://www.darcomtunisia.com/vente/villa
698b9e67b1afddc99cbe6ce0,Les annonces des Locaux commerciaux à vendre,7000.0,Tunis,Tunis,appartement,vente,75.0,1,1,,https://www.darcomtunisia.com/vente/local_commercial
698b9e68b1afddc99cbe6ce1,Une EUPHORIE à Chotrana1 Ariana,1665000.0,Tunis,Tunis,appartement,vente,237.0,1,1,,https://www.darcomtunisia.com/bien/details/24117-une-euphorie-a-chotrana1
698b9e6ab1afddc99cbe6ce2,A vendre Terrain viabilisé 508 m à Chotrana 3 la Soukra Ariana,730000.0,Tunis,Tunis,appartement,vente,508.0,1,1,,https://www.darcomtunisia.com/bien/details/128059-a-vendre-terrain-viabilise-508-m-a-chotrana-3-la-soukra
698b9e6bb1afddc99cbe6ce3,A louer S1 Neuf à Chotrana 1 Ariana,11300.0,Tunis,Tunis,appartement,vente,64.0,1,1,,https://www.darcomtunisia.com/bien/details/128511-a-louer-s1-neuf-a-chotrana-1
698b9e6db1afddc99cbe6ce4,Liste des villas jumelée à vendre,960000.0,Tunis,Tunis,appartement,vente,180.0,1,1,,https://www.darcomtunisia.com/vente/villa/jumelee
698b9e6eb1afddc99cbe6ce5,A vendre 1350m à la soukra Ariana,1080000.0,Tunis,Tunis,appartement,vente,1350.0,1,1,,https://www.darcomtunisia.com/bien/details/79359-a-vendre-1350m-a-la-soukra
