surface_m2,log_surface,rooms,bathrooms,total_rooms,rooms_per_m2,city_tier,prop_tier,city_encoded,is_sale,is_apartment,is_villa,is_studio,type_appartement
0.8059701492537313,0.624243928612844,0.0,0.0,0.0,-0.5433070866141733,3,2,4,1,1,0,0,True
-0.014925373134328358,-0.019153928259626297,2.0,0.0,2.0,0.6299212598425197,3,2,4,1,1,0,0,True
-0.3880597014925373,-0.8660872352071461,0.0,0.0,0.0,0.8582677165354331,3,2,4,1,1,0,0,True
-0.3283582089552239,-0.6398654715776874,0.0,0.0,0.0,0.4094488188976378,3,2,4,1,1,0,0,True
-0.11940298507462686,-0.17075790148019387,0.0,0.0,0.0,-0.15748031496062992,3,2,4,1,1,0,0,True
-0.5074626865671642,-1.9149129258782112,1.0,0.0,1.0,15.031496062992128,3,2,4,1,1,0,0,True
-0.208955223880597,-0.33433132724875997,1.0,0.0,1.0,0.7165354330708662,3,2,4,1,1,0,0,True
-0.26865671641791045,-0.47017251934501153,0.0,0.0,0.0,0.15748031496062992,3,2,4,1,1,0,0,True
-0.1791044776119403,-0.27535077145874043,1.0,0.0,1.0,0.5984251968503936,3,2,4,1,1,0,0,True
1.164179104477612,0.7855556314595898,0.0,0.0,0.0,-0.5748031496062993,3,2,4,1,1,0,0,True
1.5522388059701493,0.9258056350396148,531.0,0.0,531.0,59.12598425196851,3,2,4,1,1,0,0,True
0.9552238805970149,0.6961326121630278,0.0,0.0,0.0,-0.5590551181102362,3,2,4,1,1,0,0,True
0.0,0.0,0.0,0.0,0.0,-0.27559055118110243,3,2,4,1,1,0,0,True
0.6567164179104478,0.5438991993234602,2.0,0.0,2.0,-0.125984251968504,3,2,4,1,1,0,0,True
1.0029850746268656,0.7176275225317302,0.0,0.0,0.0,-0.5669291338582678,3,2,4,1,1,0,0,True
-0.14925373134328357,-0.22105634549214764,1.0,0.0,1.0,0.49606299212598426,3,2,4,1,1,0,0,True
-0.417910447761194,-1.0153182258066267,0.0,0.0,0.0,1.251968503937008,3,2,4,1,1,0,0,True
0.08656716417910448,0.10161250719091619,3.0,0.0,3.0,0.7874015748031495,3,2,4,1,1,0,0,True
-0.3582089552238806,-0.7436629127483482,0.0,0.0,0.0,0.5984251968503936,3,2,4,1,1,0,0,True
-0.3164179104477612,-0.6023903110370871,3.0,0.0,3.0,3.543307086614173,3,2,4,1,1,0,0,True
-0.208955223880597,-0.33433132724875997,3.0,0.0,3.0,2.1496062992125986,3,2,4,1,1,0,0,True
1.1044776119402986,0.7611769163561694,107.0,0.0,107.0,14.748031496062993,3,2,4,1,1,0,0,True
2.4477611940298507,1.169389635074459,1.0,0.0,1.0,-0.5590551181102362,3,2,4,1,1,0,0,True
-0.11940298507462686,-0.17075790148019387,1.0,0.0,1.0,0.4094488188976378,3,2,4,1,1,0,0,True
-0.26865671641791045,-0.47017251934501153,0.0,0.0,0.0,0.15748031496062992,3,2,4,1,1,0,0,True
-0.1791044776119403,-0.27535077145874043,1.0,0.0,1.0,0.5984251968503936,3,2,4,1,1,0,0,True
2.7313432835820897,1.231383714580709,0.0,0.0,0.0,-0.6456692913385828,3,2,4,1,1,0,0,True
