price,surface_m2,rooms,log_surface,price_per_m2,city_enc,property_type_enc,transaction_type_enc
-0.638700860155843,-0.9006490338084538,2.647577247160885,0.0,-0.07743264937009563,6,1,2
-0.6382315257613773,-0.5556213962673392,-0.07875816906114906,4.330733340286331,-0.0778952774590455,6,0,1
2.189719401372474,-0.9006490338084538,-0.7603420231166577,0.0,-0.07743264937009563,6,0,2
-0.6171114780104171,1.1005112639300112,2.647577247160885,6.077642243349034,-0.07770560039967325,6,1,0
1.4479598576390276,-0.0725827037097787,0.6028256849943595,5.198497031265826,0.018977011808118734,6,1,2
1.706093774595208,1.546747008483186,-0.7603420231166577,6.278521424165844,-0.04123028762171859,6,3,2
-0.6349461850001168,0.6174725713724506,-0.7603420231166577,5.802118375377063,-0.0780143388166601,6,2,1
-0.6386539267163965,-0.4406121837536343,-0.7603420231166577,4.61512051684126,-0.07799612242894507,6,1,2
-0.6264981658997327,0.019424666301185205,-0.7603420231166577,5.303304908059076,-0.07756785872560533,6,1,0
-0.6124181340657593,2.273605231569801,-0.7603420231166577,6.53813982376767,-0.07781555811525137,6,1,0
2.189719401372474,-0.8684464543046165,-0.7603420231166577,2.0794415416798357,3.3066695893957876,0,1,0
0.2980905911978595,-0.9006490338084538,0.6028256849943595,0.0,-0.07743264937009563,6,1,0
-0.6368235225779799,-0.6016250812728212,-0.7603420231166577,4.189654742026425,-0.07767364016256292,6,1,1
-0.630252841055459,-0.19679265322457998,2.647577247160885,5.0369526024136295,-0.0775922546312342,6,1,0
-0.6317077776783029,-0.4406121837536343,-0.07875816906114906,4.61512051684126,-0.07741462675835532,6,0,1
-0.5875434111590727,-0.6062254497733693,-0.7603420231166577,4.174387269895637,-0.07122002803103408,6,1,1
2.189719401372474,-0.9006490338084538,-0.7603420231166577,0.0,-0.07743264937009563,6,3,2
0.2980905911978595,-0.9006490338084538,0.6028256849943595,0.0,-0.07743264937009563,6,1,0
1.0959590617896904,0.47946151635600476,0.6028256849943595,5.707110264748875,-0.02969923989665284,6,6,0
-0.6405725657209725,-0.9006490338084538,-0.7603420231166577,0.0,-0.07743264937009563,6,0,0
-0.6340075162111852,-0.34860481374267044,0.6028256849943595,4.795790545596741,-0.07769882621898139,4,1,0
-0.6344768506056511,-0.23359560122896553,1.9659933931053768,4.983606621708336,-0.07780495504982063,6,0,0
-0.6349461850001168,-0.9006490338084538,-0.7603420231166577,0.0,-0.07743264937009563,6,0,1
-0.6325995130277879,-0.6016250812728212,-0.7603420231166577,4.189654742026425,-0.07712962134392387,6,1,0
-0.6405570776859553,-0.9006490338084538,-0.7603420231166577,0.0,-0.07743264937009563,6,0,0
-0.6354155193945826,-0.4820155002585681,0.6028256849943595,4.5217885770490405,-0.07768227538190639,2,0,1
-0.6397333958236678,-0.2565974437317065,1.9659933931053768,4.948759890378168,-0.07810669641263829,6,0,2
-0.5701780385638388,2.273605231569801,0.6028256849943595,6.53813982376767,-0.07730307661943198,6,1,0
-0.6382315257613773,2.273605231569801,-0.7603420231166577,6.53813982376767,-0.07812874125158543,6,5,2
-0.07737692437476679,-0.3946084987481524,-0.7603420231166577,4.709530201312334,-0.035295123704539334,6,1,2
-0.5673620321970441,-0.42221070975144154,-0.7603420231166577,4.653960350157523,-0.07226367524387461,6,1,2
-0.6269675002941986,0.019424666301185205,-0.7603420231166577,5.303304908059076,-0.07758750384961174,6,6,0
-0.638935527353076,-0.6246269237755622,-0.7603420231166577,4.110873864173311,-0.07792801933238952,6,0,1
0.3450240306444378,-0.9006490338084538,0.6028256849943595,0.0,-0.07743264937009563,6,1,2
-0.6358848537890484,-0.9006490338084538,1.2844095390498682,0.0,-0.07743264937009563,6,6,2
1.1898259406828469,-0.4268110782519897,1.2844095390498682,4.6443908991413725,0.07061168779691926,6,1,0
-0.6405570776859553,-0.9006490338084538,-0.7603420231166577,0.0,-0.07743264937009563,6,0,0
-0.6394048617475417,2.273605231569801,-0.7603420231166577,6.53813982376767,-0.07814297684869154,6,1,1
-0.6346176509239908,-0.9006490338084538,-0.7603420231166577,0.0,-0.07743264937009563,6,0,0
-0.6405312642942597,2.273605231569801,-0.7603420231166577,6.53813982376767,-0.07815664302191339,4,1,0
-0.6405716270521837,-0.33020333974047766,-0.7603420231166577,4.8283137373023015,-0.07815676884622329,6,1,0
1.4714265773623167,-0.4406121837536343,0.6028256849943595,4.61512051684126,0.09864890361189284,6,1,0
2.189719401372474,2.273605231569801,1.2844095390498682,6.53813982376767,-0.04381838981841923,6,1,0
0.43889090953759435,-0.6338276607766585,-0.7603420231166577,4.07753744390572,0.07764894346710967,6,1,0
-0.6333035146194865,-0.8546453488029719,0.6028256849943595,2.3978952727983707,-0.07206722400381052,6,0,0
-0.6405570776859553,-0.9006490338084538,-0.7603420231166577,0.0,-0.07743264937009563,6,2,0
-0.6405570776859553,-0.8132420322980382,-0.7603420231166577,2.995732273553991,-0.07814790686074197,6,0,0
