id,title,price,city,property_type,surface_m2,rooms,bathrooms,transaction_type,url
69922816b4db7c7155569b16,PROPOS DE CE BIEN,1000.0,Tunis,Appartement,80.0,1,1,vente,https://www.immo-dulac.com/bien/details/127761-appartement-s2-meuble-a-louer-a-el-ghrabi
69922818b4db7c7155569b17,Liste des appartements vendre,240000.0,Tunis,Appartement,110.0,2,1,vente,https://www.immo-dulac.com/vente/appartement
6992281bb4db7c7155569b18,PROPOS DE CE BIEN,1200000.0,Tunis,Appartement,734.0,6,1,vente,https://www.immo-dulac.com/bien/details/121101-belle-villa-3-niveaux-a-vendre
6992281eb4db7c7155569b19,PROPOS DE CE BIEN,2200.0,Tunis,Appartement,400.0,1,1,vente,https://www.immo-dulac.com/bien/details/123071-duplex-meuble-s3-a-kantaoui
69922820b4db7c7155569b1a,PROPOS DE CE BIEN,270000.0,Tunis,Appartement,91.0,1,1,vente,https://www.immo-dulac.com/bien/details/122109-local-commercial-route-touristique
69922823b4db7c7155569b1b,PROPOS DE CE BIEN,3500.0,Tunis,Appartement,300.0,2,1,vente,https://www.immo-dulac.com/bien/details/120297-villa-haut-standing-pieds-dans-leau-avec-piscine
69922828b4db7c7155569b1d,PROPOS DE CE BIEN,1200.0,Tunis,Appartement,130.0,1,1,vente,https://www.immo-dulac.com/bien/details/124896-appartement-s3-a-louer-a-sahloul
6992282ab4db7c7155569b1e,PROPOS DE CE BIEN,2550000.0,Tunis,Appartement,830.0,1,1,vente,https://www.immo-dulac.com/bien/details/120482-villa-de-haut-standing-el-kantaoui
6992282eb4db7c7155569b20,PROPOS DE CE BIEN,360000.0,Tunis,Appartement,11.0,1,1,vente,https://www.immo-dulac.com/bien/details/120794-a-vendre-bureau-avec-vue-panaromique
69922831b4db7c7155569b21,PROPOS DE CE BIEN,2500.0,Tunis,Appartement,260.0,1,1,vente,https://www.immo-dulac.com/bien/details/120900-etage-de-villa-neuf-a-louer
69922833b4db7c7155569b22,PROPOS DE CE BIEN,350000.0,Tunis,Appartement,6160.0,1,1,vente,https://www.immo-dulac.com/bien/details/127756-terrain-agricole-a-vendre-a-kalaa-kebira
69922835b4db7c7155569b23,PROPOS DE CE BIEN,1050000.0,Tunis,Appartement,450.0,1,1,vente,https://www.immo-dulac.com/bien/details/120471-villa-de-standing-avec-double-facade
69922838b4db7c7155569b24,PROPOS DE CE BIEN,1500.0,Tunis,Appartement,160.0,1,1,vente,https://www.immo-dulac.com/bien/details/123696-spacieux-duplex-meuble-independant
6992283bb4db7c7155569b25,PROPOS DE CE BIEN,240000.0,Tunis,Appartement,110.0,1,1,vente,https://www.immo-dulac.com/bien/details/128089-appartement-s3-a-vendre-a-ghrabi-hammam-sousse
6992283fb4db7c7155569b27,PROPOS DE CE BIEN,1200.0,Tunis,Appartement,165.0,2,1,vente,https://www.immo-dulac.com/bien/details/123856-rez-de-chaussee-s2-meuble
69922841b4db7c7155569b28,PROPOS DE CE BIEN,750.0,Tunis,Appartement,85.0,2,1,vente,https://www.immo-dulac.com/bien/details/123853-appartement-s2-face-de-mosque-hamza-a-louer
